,rho_0,xi,gamma,log10(zeta),num_stiff,material,eig_FEA,eig_CF,time
0,0.206192,0.921829,2.951264,-3.323650,5,metal,180.253351,153.173022,48.660389
0,7.388704,0.952591,4.534946,-2.505907,1,metal,6.510717,6.912986,14.651788
0,5.986300,0.952588,4.535108,-2.505907,1,metal,6.567527,6.913015,15.248765
0,4.849847,0.952588,4.535103,-2.505907,1,metal,6.685082,6.913014,17.517269
0,3.929142,0.952588,4.535102,-2.505907,1,metal,6.814346,6.913014,15.771135
0,3.183225,0.883877,4.535107,-2.505907,1,metal,7.394872,6.819914,28.580351
0,2.578944,0.883878,4.535090,-2.505907,1,metal,7.746038,6.819912,31.895258
0,2.089373,0.883876,4.535121,-2.505907,1,metal,8.451556,6.819916,28.891140
0,1.692641,0.802670,4.535015,-2.505907,2,metal,9.992709,6.709461,47.353322
0,1.371340,0.802661,4.535097,-2.505907,2,metal,12.587014,6.709467,33.819117
0,1.111003,0.802660,4.535106,-2.505907,2,metal,16.251399,6.709467,26.358329
0,0.900087,0.802664,4.535068,-2.505907,3,metal,20.809203,8.281680,38.473749
0,7.388983,0.934880,6.639499,-3.029315,1,metal,7.067766,7.277873,15.698518
0,5.986271,0.829384,6.639493,-3.029315,1,metal,7.156678,7.146020,34.921430
0,4.849725,0.299628,6.638500,-3.029315,1,metal,7.042578,6.483458,29.649803
0,3.929142,0.829383,6.639509,-3.029315,1,metal,7.697195,7.146022,30.837631
0,3.183285,0.829383,6.639518,-3.029315,1,metal,8.300764,7.146023,45.069830
0,2.578914,0.299692,6.639288,-3.029315,1,metal,8.430860,6.483693,31.085653
0,2.089332,0.299613,6.638323,-3.029315,1,metal,9.582743,6.483405,27.218884
0,1.690522,0.616732,6.587299,-3.029315,2,metal,12.804824,6.870093,42.362190
0,1.371341,0.589002,6.603070,-3.029315,2,metal,17.004990,6.838169,30.966238
0,1.110972,0.590335,5.628087,-3.029315,3,metal,22.208947,6.652579,58.364552
0,0.900086,0.590295,5.628087,-3.029315,3,metal,28.889089,8.211427,44.173634
0,0.729213,0.588999,6.603070,-3.029315,3,metal,32.594766,12.859702,37.772202
0,0.590778,0.588975,6.603070,-3.029315,3,metal,37.118329,19.592491,40.645146
0,0.478624,0.588944,6.603070,-3.029315,3,metal,43.620830,29.850161,40.634982
0,0.370096,0.635859,5.591375,-3.029315,4,metal,63.806691,48.949208,78.204590
0,0.314145,0.590297,5.628087,-3.029315,4,metal,71.100892,67.410174,56.987879
0,7.388918,0.755851,6.063251,-2.405787,1,metal,6.638747,6.950300,62.324086
0,5.986116,0.755881,6.063011,-2.405787,1,metal,6.755462,6.950293,51.130281
0,4.849837,0.755851,6.063251,-2.405787,1,metal,6.874824,6.950300,48.617373
0,3.929143,0.755851,6.063251,-2.405787,1,metal,7.036683,6.950300,48.477175
0,3.183229,0.594368,4.439612,-2.405787,3,metal,6.935892,6.402844,116.170779
0,2.150030,0.996100,0.321650,-2.405787,5,metal,6.439494,5.793188,155.893071
0,2.089041,0.996099,0.321666,-2.405787,5,metal,6.473289,5.793194,85.798621
0,1.692585,0.996099,0.321657,-2.405787,5,metal,6.839194,5.793191,104.333303
0,1.371341,0.996099,0.321668,-2.405787,5,metal,7.603893,5.793195,86.715297
0,7.388930,0.590584,6.622979,-2.375938,1,metal,6.538067,6.843803,65.949425
0,5.985972,0.590574,6.622979,-2.375938,1,metal,6.653481,6.843790,61.981387
0,4.849828,0.590578,6.622979,-2.375938,1,metal,6.766023,6.843795,68.017660
0,3.929119,0.590562,6.622979,-2.375938,1,metal,7.012073,6.843775,66.134890
0,3.183229,0.590576,6.622979,-2.375938,1,metal,7.523281,6.843794,67.607386
0,2.578916,0.590580,6.622979,-2.375938,1,metal,7.864705,6.843798,70.844789
0,0.404474,0.759377,4.650873,-2.375938,3,metal,38.144231,40.802524,141.889767
0,0.401379,0.747800,4.722398,-2.375938,3,metal,38.107537,41.431307,80.584659
0,0.397879,0.734820,4.795062,-2.375938,3,metal,38.054300,42.149621,71.879208
0,0.393889,0.720159,4.867986,-2.375938,3,metal,37.979677,42.979631,77.130294
0,0.389296,0.703468,4.939736,-2.375938,3,metal,37.877258,43.951153,97.818784
0,0.383959,0.684319,5.008006,-2.375938,3,metal,37.738581,45.104561,76.723552
0,7.389043,0.999891,0.105165,-2.794234,1,metal,5.531036,5.705291,25.822371
0,5.986281,0.999891,0.105142,-2.794234,1,metal,5.553404,5.705280,17.784792
0,4.849847,0.999891,0.105166,-2.794234,1,metal,5.623814,5.705291,16.765258
0,3.929150,0.999891,0.105141,-2.794234,1,metal,5.674330,5.705280,20.829118
0,3.183243,0.999891,0.105142,-2.794234,1,metal,5.829080,5.705280,19.746992
0,2.578922,0.999891,0.105164,-2.794234,1,metal,6.015185,5.705290,22.579622
0,2.089281,0.999891,0.105165,-2.794234,1,metal,6.498342,5.705291,17.537767
0,1.692681,0.999891,0.105165,-2.794234,1,metal,6.766734,5.705291,18.079375
0,1.371335,0.999891,0.105142,-2.794234,1,metal,7.360056,5.705280,14.782024
0,1.111003,0.999891,0.105170,-2.794234,1,metal,8.531065,5.705293,20.407446
0,0.900088,0.999891,0.105170,-2.794234,1,metal,10.639796,7.042199,22.589737
0,0.729216,0.999891,0.105142,-2.794234,1,metal,14.209736,10.729127,14.184578
0,0.590779,0.999891,0.105165,-2.794234,1,metal,20.020296,16.346617,15.954690
0,0.478633,0.999891,0.105165,-2.794234,1,metal,28.836893,24.904146,16.090678
0,0.387759,0.999891,0.105164,-2.794234,1,metal,40.552201,37.944968,23.895703
