,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
632,0.725145,1.110983,-3.827651,7.138656,3,metal,27.098660,2.227689,63288568573.268982
633,0.725145,0.900085,-3.827651,7.138656,3,metal,38.210619,2.510109,3195466695302055.500000
634,0.725119,0.729214,-3.827651,7.138851,3,metal,53.544340,2.849994,10381852634250823598080.000000
635,0.966009,2.117452,-3.342208,2.365465,2,metal,7.674566,1.800947,355.533165
636,0.943028,2.091566,-3.342208,2.766709,3,metal,7.978019,1.860016,453.957063
637,0.943009,2.091443,-3.342208,2.767240,3,metal,7.978503,1.860129,454.125579
638,0.943012,2.090877,-3.342208,2.767143,3,metal,7.978633,1.860315,454.100366
639,0.942984,2.091187,-3.342208,2.767964,3,metal,7.979211,1.860314,454.363265
640,0.942984,2.091106,-3.342208,2.767947,3,metal,7.979217,1.860340,454.353971
641,0.943029,0.450655,-3.342208,2.766663,4,metal,46.941152,3.027033,11793956901394968576.000000
642,0.943014,0.450595,-3.342208,2.767100,4,metal,46.954233,3.027372,11945195130637107200.000000
643,0.878406,7.389053,-4.372156,9.312256,1,metal,9.787989,2.103061,2175.313572
644,0.878409,5.986168,-4.372156,9.312102,1,metal,9.929157,2.119665,2463.877587
645,0.878406,4.849842,-4.372156,9.312232,1,metal,10.417090,2.118193,4019.435889
646,0.878420,3.929259,-4.372156,9.311690,1,metal,10.986087,2.114832,7124.218176
647,0.878408,3.183293,-4.372156,9.312167,1,metal,12.912762,2.123547,48494.967046
648,0.878406,2.578943,-4.372156,9.312251,1,metal,13.249235,2.264003,58996.442936
649,0.878402,2.089552,-4.372156,9.312398,1,metal,14.964865,2.138287,371973.695235
650,0.792780,1.692643,-4.372156,9.312133,2,metal,18.918031,2.085659,20427070.806724
651,0.792773,1.371341,-4.372156,9.312257,2,metal,25.501775,2.191618,13288391398.567854
652,0.585337,1.110997,-4.372156,8.376234,4,metal,33.721060,2.302715,44138110792112.367188
653,0.585331,0.900086,-4.372156,8.376234,4,metal,48.607665,2.606697,95053142119556972544.000000
654,0.585319,0.729213,-4.372156,8.376234,4,metal,69.916817,2.961923,119712891603230147502971813888.000000
655,0.585319,0.590778,-4.372156,8.376234,4,metal,98.473525,3.345834,205793323695877693869848081657066910908416.000000
656,0.585855,0.478627,-4.372156,7.665452,5,metal,132.933697,3.669374,137651926838300163427445921411913305101312052166639222784.000000
657,0.587867,7.388922,-3.515871,6.775166,3,metal,7.393465,1.926668,236.700880
658,0.587862,5.986298,-3.515871,6.775166,3,metal,7.615267,1.929625,294.606972
659,0.587860,4.849745,-3.515871,6.775166,3,metal,8.088630,1.911651,481.535278
660,0.587856,3.929118,-3.515871,6.775166,3,metal,8.365321,1.952994,609.310070
661,0.587860,3.183228,-3.515871,6.775166,3,metal,9.442499,1.913714,1860.842492
662,0.587859,2.578926,-3.515871,6.775166,4,metal,10.467805,2.016851,4679.536181
663,0.632973,1.714030,-3.515871,6.731946,4,metal,13.498193,1.922150,106515.207227
