,rho_0,xi,gamma,log10(zeta),eig_FEA
432,0.429898,0.858160,3.289611,-2.026520,38.660605
433,0.429872,0.858159,3.289627,-2.026520,38.663740
434,0.429679,0.858302,3.288056,-2.026520,38.687194
435,2.001409,0.863397,3.217206,-2.014555,7.257249
436,2.001051,0.863348,3.217764,-2.014555,7.257950
437,2.001274,0.863241,3.218976,-2.014555,7.257875
438,2.000730,0.863338,3.217881,-2.014555,7.258489
439,2.000055,0.863308,3.218211,-2.014555,7.259646
440,1.998434,0.863333,3.217928,-2.014555,7.262178
441,0.431185,0.863376,3.217446,-2.014555,38.128333
442,0.431192,0.863394,3.217238,-2.014555,38.127440
443,0.431177,0.863396,3.217223,-2.014555,38.129215
444,0.431154,0.863395,3.217236,-2.014555,38.131988
445,0.431238,0.863274,3.218596,-2.014555,38.122164
446,0.431226,0.863275,3.218587,-2.014555,38.123581
447,0.431180,0.863275,3.218586,-2.014555,38.129062
448,7.389045,0.999953,0.105167,-4.462042,5.675646
449,5.986298,0.999953,0.105167,-4.462042,5.686715
450,4.849847,0.999953,0.105167,-4.462042,5.744047
451,3.929150,0.999953,0.105152,-4.462042,5.813193
452,3.183226,0.999953,0.105170,-4.462042,5.955261
453,2.578957,0.999953,0.105153,-4.462042,6.180297
454,2.089285,0.999953,0.105168,-4.462042,6.652480
455,1.692664,0.999953,0.105153,-4.462042,6.942262
456,1.371340,0.999953,0.105167,-4.462042,7.630251
457,1.111003,0.999953,0.105167,-4.462042,9.004915
458,0.900088,0.999953,0.105167,-4.462042,11.471334
459,0.729214,0.999953,0.105167,-4.462042,15.710753
460,0.590785,0.999953,0.105153,-4.462042,22.582765
461,0.478633,0.999953,0.105168,-4.462042,32.882443
462,0.387754,0.999953,0.105153,-4.462042,46.694927
463,0.314145,0.999953,0.105153,-4.462042,66.095396
464,0.254508,0.999758,0.105172,-4.462042,102.446879
465,0.206192,0.999758,0.105176,-4.462042,148.720623
466,0.167048,0.999758,0.105171,-4.462042,215.877062
467,0.135336,0.999710,0.105181,-4.462042,313.935009
468,7.388743,0.998060,0.525333,-2.109099,5.454759
469,5.986297,0.998060,0.525347,-2.109099,5.461359
470,4.849848,0.998060,0.525347,-2.109099,5.515760
471,3.929143,0.998060,0.525347,-2.109099,5.585379
472,3.183225,0.998060,0.525347,-2.109099,5.702891
473,2.579125,0.998060,0.525335,-2.109099,5.923050
474,2.089318,0.998060,0.525348,-2.109099,6.348211
475,1.692587,0.998060,0.525333,-2.109099,6.608663
476,1.371341,0.998060,0.525348,-2.109099,7.230134
477,1.111003,0.998060,0.525347,-2.109099,8.440866
478,0.900088,0.998060,0.525347,-2.109099,10.635462
479,0.729213,0.998060,0.525348,-2.109099,14.371258
480,0.590811,0.998060,0.525334,-2.109099,20.192876
481,0.478625,0.998060,0.525348,-2.109099,28.219070
482,0.387728,0.998060,0.525333,-2.109099,38.194740
483,0.314147,0.998060,0.525347,-2.109099,51.075002
484,0.254508,0.998060,0.525347,-2.109099,69.742263
485,7.389043,0.994542,1.105271,-2.359228,5.736239
486,5.985802,0.994542,1.105202,-2.359228,5.748853
487,4.849848,0.994542,1.105271,-2.359228,5.808068
488,3.929143,0.994542,1.105272,-2.359228,5.944171
489,3.183243,0.994542,1.105269,-2.359228,6.043384
490,2.578956,0.994542,1.105269,-2.359228,6.391684
491,2.089317,0.994542,1.105271,-2.359228,6.752596
492,1.692586,0.994542,1.105257,-2.359228,7.129912
493,1.371335,0.994542,1.105269,-2.359228,8.004456
494,1.111003,0.994542,1.105272,-2.359228,9.620076
